sample	nHets
A206	1823
AWC5	6458
AXB5	2191
AXB8	2160
Bel01	12279
Bel03	8601
BNC5	6550
GPF8	903
GPF9	873
IMF7	6962
IMF8	9987
INF1	1789
INF2	1907
IPE3	6080
IPE7	6497
IRD9	1737
IRE3	1810
IUF7	11932
IUF8	9936
IVB4	15313
IVB5	12472
IVF4	1539
IVF5	592
IXB9	8502
IXC1	10468
IXF4	5512
IZC7	13451
JAF7	5361
JAF9	5103
JBE6	2315
JBE7	2949
JVH4	3394
JVI5	4077
JZE6	8514
JZE8	8336
KAF5	3988
KAF6	4256
LBE2	12194
LBE9	10975
LEA3	5163
LEA4	5313
LHG4	7381
LHG6	7673
A206	1420
AWC5	6297
AXB5	2476
AXB8	2457
Bel01	12716
Bel03	9048
BNC5	6810
GPF8	1262
GPF9	821
IMF7	7539
IMF8	10629
INF1	1634
INF2	1924
IPE3	6147
IPE7	6613
IRD9	1766
IRE3	1943
IUF7	12050
IUF8	9699
IVB4	14897
IVB5	11826
IVF4	1028
IVF5	612
IXB9	8149
IXC1	10380
IXF4	6943
IZC7	14169
JAF7	5606
JAF9	6103
JBE6	2779
JBE7	3554
JVH4	3966
JVI5	4707
JZE6	10478
JZE8	9923
KAF5	5672
KAF6	6354
LBE2	12001
LBE9	10620
LEA3	5043
LEA4	4867
LHG4	8456
LHG6	8190
A206	245
AWC5	2196
AXB5	1396
AXB8	1049
Bel01	3718
Bel03	2453
BNC5	2366
GPF8	537
GPF9	548
IMF7	2844
IMF8	4084
INF1	589
INF2	687
IPE3	2073
IPE7	2437
IRD9	599
IRE3	705
IUF7	3847
IUF8	3080
IVB4	4737
IVB5	3742
IVF4	640
IVF5	296
IXB9	2156
IXC1	2770
IXF4	3534
IZC7	4408
JAF7	1820
JAF9	3304
JBE6	662
JBE7	956
JVH4	1201
JVI5	1467
JZE6	3290
JZE8	3032
KAF5	2497
KAF6	2143
LBE2	3940
LBE9	3566
LEA3	1795
LEA4	1827
LHG4	2726
LHG6	2846
A206	1577
AWC5	4807
AXB5	3366
AXB8	3186
Bel01	6028
Bel03	4070
BNC5	5057
GPF8	1657
GPF9	2254
IMF7	5008
IMF8	7255
INF1	2418
INF2	3008
IPE3	3634
IPE7	3852
IRD9	1609
IRE3	1877
IUF7	6431
IUF8	5378
IVB4	7645
IVB5	5968
IVF4	2293
IVF5	1360
IXB9	4244
IXC1	5581
IXF4	6352
IZC7	7582
JAF7	5453
JAF9	5642
JBE6	2309
JBE7	2658
JVH4	2893
JVI5	3608
JZE6	6682
JZE8	6220
KAF5	4851
KAF6	4652
LBE2	6712
LBE9	6143
LEA3	3773
LEA4	3515
LHG4	4530
LHG6	4596
A206	1804
AWC5	6075
AXB5	2417
AXB8	2377
Bel01	10419
Bel03	7054
BNC5	6611
GPF8	836
GPF9	1003
IMF7	7159
IMF8	10599
INF1	1696
INF2	1558
IPE3	5602
IPE7	6055
IRD9	1520
IRE3	1734
IUF7	11411
IUF8	9194
IVB4	14005
IVB5	11457
IVF4	898
IVF5	557
IXB9	7439
IXC1	9151
IXF4	6707
IZC7	13003
JAF7	6425
JAF9	5692
JBE6	1668
JBE7	2305
JVH4	3065
JVI5	3961
JZE6	9513
JZE8	9357
KAF5	5681
KAF6	6277
LBE2	11191
LBE9	10103
LEA3	4837
LEA4	4704
LHG4	5959
LHG6	6128
A206	492
AWC5	5634
AXB5	1434
AXB8	1641
Bel01	11083
Bel03	7837
BNC5	5977
GPF8	661
GPF9	753
IMF7	5491
IMF8	7574
INF1	1445
INF2	1732
IPE3	5345
IPE7	5750
IRD9	1580
IRE3	1621
IUF7	10597
IUF8	8735
IVB4	13527
IVB5	11441
IVF4	844
IVF5	463
IXB9	7940
IXC1	9740
IXF4	5571
IZC7	12288
JAF7	4927
JAF9	5169
JBE6	2124
JBE7	2624
JVH4	3241
JVI5	3368
JZE6	9188
JZE8	8978
KAF5	4656
KAF6	4898
LBE2	10666
LBE9	9639
LEA3	4615
LEA4	4415
LHG4	6925
LHG6	7048
A206	929
AWC5	6960
AXB5	2580
AXB8	2566
Bel01	13503
Bel03	9244
BNC5	7268
GPF8	897
GPF9	1677
IMF7	6744
IMF8	10376
INF1	2363
INF2	2358
IPE3	6654
IPE7	7249
IRD9	1899
IRE3	1928
IUF7	12859
IUF8	10580
IVB4	16121
IVB5	12853
IVF4	1362
IVF5	754
IXB9	8608
IXC1	10428
IXF4	7393
IZC7	14227
JAF7	5566
JAF9	6169
JBE6	2350
JBE7	2990
JVH4	3398
JVI5	3956
JZE6	11401
JZE8	10933
KAF5	5882
KAF6	5213
LBE2	13243
LBE9	11725
LEA3	5096
LEA4	4904
LHG4	8900
LHG6	9098
A206	3093
AWC5	10656
AXB5	4178
AXB8	4170
Bel01	22592
Bel03	15750
BNC5	11194
GPF8	1104
GPF9	1366
IMF7	10471
IMF8	15341
INF1	3156
INF2	3938
IPE3	9999
IPE7	10837
IRD9	2676
IRE3	2958
IUF7	19841
IUF8	16494
IVB4	24696
IVB5	20936
IVF4	1165
IVF5	977
IXB9	13533
IXC1	16831
IXF4	9547
IZC7	18116
JAF7	9090
JAF9	8807
JBE6	4412
JBE7	5512
JVH4	4948
JVI5	5956
JZE6	14610
JZE8	13604
KAF5	6415
KAF6	7027
LBE2	19957
LBE9	18143
LEA3	7977
LEA4	8609
LHG4	12813
LHG6	13116
A206	675
AWC5	5462
AXB5	1760
AXB8	1710
Bel01	11326
Bel03	7990
BNC5	5537
GPF8	690
GPF9	840
IMF7	6193
IMF8	9189
INF1	1017
INF2	1441
IPE3	5576
IPE7	5965
IRD9	1477
IRE3	1641
IUF7	10965
IUF8	8910
IVB4	13011
IVB5	11188
IVF4	1217
IVF5	725
IXB9	6996
IXC1	8727
IXF4	5069
IZC7	12209
JAF7	3910
JAF9	3986
JBE6	2103
JBE7	2617
JVH4	3165
JVI5	3716
JZE6	8352
JZE8	7855
KAF5	4493
KAF6	4765
LBE2	11122
LBE9	9949
LEA3	4363
LEA4	4232
LHG4	6667
LHG6	7124
A206	1265
AWC5	4061
AXB5	2144
AXB8	2063
Bel01	8782
Bel03	6162
BNC5	5118
GPF8	730
GPF9	1223
IMF7	4964
IMF8	7320
INF1	1146
INF2	1403
IPE3	4471
IPE7	4920
IRD9	1292
IRE3	1335
IUF7	8838
IUF8	7431
IVB4	10854
IVB5	8780
IVF4	876
IVF5	490
IXB9	6044
IXC1	7327
IXF4	5279
IZC7	9589
JAF7	4501
JAF9	4452
JBE6	2018
JBE7	2386
JVH4	2716
JVI5	3339
JZE6	7916
JZE8	7268
KAF5	4227
KAF6	4309
LBE2	9105
LBE9	8025
LEA3	3821
LEA4	3728
LHG4	5943
LHG6	6194
A206	489
AWC5	5362
AXB5	2177
AXB8	1998
Bel01	11150
Bel03	7706
BNC5	5685
GPF8	611
GPF9	874
IMF7	5838
IMF8	10803
INF1	1606
INF2	1473
IPE3	5420
IPE7	5801
IRD9	1369
IRE3	1529
IUF7	9243
IUF8	7499
IVB4	13015
IVB5	10401
IVF4	1047
IVF5	547
IXB9	7371
IXC1	9008
IXF4	5561
IZC7	11903
JAF7	4973
JAF9	4577
JBE6	1987
JBE7	2397
JVH4	2905
JVI5	3713
JZE6	8514
JZE8	8137
KAF5	4781
KAF6	4716
LBE2	9159
LBE9	8286
LEA3	4360
LEA4	4401
LHG4	6963
LHG6	7109
A206	732
AWC5	6035
AXB5	2272
AXB8	2147
Bel01	9036
Bel03	6187
BNC5	6208
GPF8	732
GPF9	806
IMF7	6284
IMF8	9246
INF1	1694
INF2	1966
IPE3	5681
IPE7	6019
IRD9	1580
IRE3	1677
IUF7	9126
IUF8	7462
IVB4	13620
IVB5	11155
IVF4	2896
IVF5	440
IXB9	7496
IXC1	9303
IXF4	5823
IZC7	12225
JAF7	4969
JAF9	5189
JBE6	2156
JBE7	2751
JVH4	2865
JVI5	3259
JZE6	8592
JZE8	7876
KAF5	4619
KAF6	4385
LBE2	8984
LBE9	8342
LEA3	4890
LEA4	4844
LHG4	7666
LHG6	8020
A206	1665
