DNA Tube ID,Tribe,Genome Sequenced (y/n),Species ID
ISI2,Cyprichromini,true,Cyplep
ISI6,Cyprichromini,true,Cyplep
LJC2,Lamprologini,true,Jultra
A108,Lamprologini,true,Neonve
INC7,Lamprologini,true,Neocal
JWE8,Steatocranini,true,Steult
JWG4,Tropheini,true,Troann
JWG3,Haplochromini,true,Hplvan
JWE1,Amphilophini,true,Ampzal
JWF6,Lamprologini,true,Lamtig
IQB6,Perissodini,true,Haptri
JWH6,Lamprologini,true,Neooli
LDE1,Lamprologini,true,Chabif
JWH3,Lamprologini,true,Neomar
JWF7,Tilapiini,true,Tilspa
JWI4,Chromidotilapini,true,Peltae
LJC5,Bathybatini,true,HemstZ
IQB9,Cyprichromini,true,Pcybri
Z08,Oreochromini,true,Sthste
IXB6,Limnochromini,true,Gwcsta
JWE2,Heroini,true,Aussci
IUD8,Trematocarini,true,Tremac
IUD9,Trematocarini,true,Tremac
IUE5,Trematocarini,true,Trenig
IUE7,Trematocarini,true,Tresti
IWD5,Lamprologini,true,Lamsig
KHA9,Lamprologini,true,Neochi
JVC9,Tropheini,true,Tronig
HXC8,Lamprologini,true,Telluf
KAG3,Cyphotilapiini,true,Cphfr5
JWD7,Cichlasomini,true,Andbis
KAE8,Haplochromini,true,Arcstr
AVD4,Lamprologini,true,Lepatt
FPO1,Ptychochromini,true,Ptyoli
Z01,Oreochromini,true,Koneis
Z06,Oreochromini,true,Sthloh
Z15,Oreochromini,true,Myamya
Z03,Oreochromini,true,Punmac
Z17,Oreochromini,true,Sthcar
Z22,Oreochromini,true,Stomon
IXB5,Limnochromini,true,Gwcbel
JYD3,Haplochromini,true,Hplsta
JAE7,Boulengerochromini,true,Boumic
JZE2,Ectodini,true,Calple
JZE4,Ectodini,true,Calple
JZE6,Ectodini,true,Xenorn
JZE8,Ectodini,true,Xenorn
JZF1,Lamprologini,true,Neople
JYD5,Haplochromini,true,Astbur
JZF2,Lamprologini,true,Neople
JZF3,Lamprologini,true,Lamorn
JZF4,Lamprologini,true,Lamorn
KAF1,Ectodini,true,Carsch
KAF2,Ectodini,true,Carsch
KAF3,Ectodini,true,Calmel
KAF4,Ectodini,true,Calmel
KAF5,Ectodini,true,Xenlon
KAF6,Ectodini,true,Xenlon
Z16,Oreochromini,true,Myamya
LEC7,Perissodini,true,Plepar
LEE1,Lamprologini,true,Neoleu
JWE9,Hemichromini,true,Hchelo
JWF1,Heterochromini,true,Htcmul
JWE7,Gobiocichlini,true,Gobeth
JWF2,Pelmatolapini,true,Pelmar
JWE5,Coptodini,true,Copbak
JWD3,Etini,true,Etingu
JWE4,Chromidotilapini,true,Bencon
KEB8,Lamprologini,true,Leppro
KEC1,Lamprologini,true,Neosim
KEC2,Lamprologini,true,Neosim
KED6,Tropheini,true,Trolun
KED7,Tropheini,true,Trolun
Z21,Oreochromini,true,Stomon
KFA7,Cyprichromini,true,Cypdwj
KFA9,Cyprichromini,true,Cypdwj
JBG3,Bathybatini,true,Batmin
IRF6,Lamprologini,true,Neomul
IRF8,Lamprologini,true,Neomul
IRH2,Lamprologini,true,Altshe
IRH4,Lamprologini,true,Altshe
IRI8,Lamprologini,true,Telshe
IRI9,Lamprologini,true,Telshe
IOD4,Ectodini,true,Cyafoa
IOD6,Ectodini,true,Cyafoa
IOD9,Tropheini,true,Trored
IOE1,Tropheini,true,Trored
IOE2,Lamprologini,true,Altcal
IOE3,Lamprologini,true,Altcal
IOH4,Lamprologini,true,Lepcun
IOH5,Lamprologini,true,Lepcun
IRA1,Ectodini,true,Lesper
IRA2,Ectodini,true,Lesper
IRB2,Lamprologini,true,Julreg
IRB8,Lamprologini,true,Julreg
IRC4,Lamprologini,true,Juldic
IRC5,Lamprologini,true,Juldic
IWD6,Lamprologini,true,Lamsig
ITA4,Limnochromini,true,Gnaper
ITA6,Limnochromini,true,Gwcsta
ITB1,Limnochromini,true,Lchaur
ITB3,Limnochromini,true,Gwcabe
ITB4,Limnochromini,true,Gwcabe
ITC2,Limnochromini,true,Gwcsta
ITG2,Lamprologini,true,Neochr
ITH3,Bathybatini,true,Batfas
JWH5,Lamprologini,true,Neooli
IUI1,Limnochromini,true,Regcal
IUI4,Limnochromini,true,Regcal
IUI5,Limnochromini,true,Gnaper
IUI7,Perissodini,true,Xchhec
IUI8,Bathybatini,true,Batgra
IXA3,Trematocarini,true,Treuni
IXA4,Perissodini,true,Perecc
IXA5,Bathybatini,true,Batmin
IXA6,Trematocarini,true,Treuni
IXB8,Benthochromini,true,Benmel
IXB9,Ectodini,true,Xencau
IXC1,Ectodini,true,Xencau
IXC2,Bathybatini,true,Hemste
IXC3,Bathybatini,true,Hemste
IXF4,Ectodini,true,XenniS
IYA8,Cyphotilapiini,true,Cteben
IZA2,Benthochromini,true,Benmel
IZA5,Bathybatini,true,HemstZ
IZA8,Perissodini,true,Plemul
IZA9,Perissodini,true,Plemul
IZB2,Perissodini,true,Perecc
IZC7,Ectodini,true,XenniS
IZE1,Trematocarini,true,Tresti
IZE4,Limnochromini,true,Gwcchr
IZF1,Limnochromini,true,Gwcchr
JAB6,Oreochromini,true,Oretan
JAB7,Limnochromini,true,Baicen
JAC7,Oreochromini,true,Oretan
JAE9,Limnochromini,true,Baicen
JAF5,Limnochromini,true,Lchaur
JAG2,Tylochromini,true,Tylpol
JAH5,Tylochromini,true,Tylpol
JAH7,Perissodini,true,Xchhec
JAE1,Tropheini,true,Petfas
JCF2,Boulengerochromini,true,Boumic
JDE3,Bathybatini,true,Bathor
JDE4,Bathybatini,true,Bathor
LBE2,Ectodini,true,Xensim
LBE9,Ectodini,true,Xensim
LDA7,Benthochromini,true,Bentri
LDA9,Benthochromini,true,Bentri
LHI4,Perissodini,true,Pleela
LHI6,Perissodini,true,Pleela
GPC4,Cyprichromini,true,Pcynig
GPC6,Cyprichromini,true,Pcynig
GPC9,Cyprichromini,true,Cypzon
GPD1,Cyprichromini,true,Cypzon
JWG2,Haplochromini,true,Ctepol
LDA4,Tropheini,true,Petmac
LJA7,Limnochromini,true,Tchdha
LJA8,Limnochromini,true,Tchdha
LJB1,Tropheini,true,Petmac
IMF7,Ectodini,true,Xennas
IMF8,Ectodini,true,Xennas
IMG9,Lamprologini,true,Neomod
IMH3,Lamprologini,true,Neomod
Z18,Oreochromini,true,Sthcar
JBD5,Lamprologini,true,Telvit
JBD6,Lamprologini,true,Telvit
JEC7,Cyprichromini,true,Cypcol
JED2,Cyprichromini,true,Cypcol
JED4,Lamprologini,true,NeoveS
JED5,Lamprologini,true,NeoveS
LDC6,Tropheini,true,Petgia
LDD1,Lamprologini,true,Lepmim
LDD6,Lamprologini,true,Lepmim
LDD9,Lamprologini,true,Chabif
LDE3,Tropheini,true,Petkip
LDE4,Tropheini,true,Petkip
LHD2,Tropheini,true,Petgia
GPF8,Ectodini,true,Xensun
GPF9,Ectodini,true,Xensun
GPH1,Lamprologini,true,Neocyl
GPH2,Lamprologini,true,Neocyl
IMA1,Lamprologini,true,Neoobs
IMA2,Lamprologini,true,Neoobs
IMB3,Lamprologini,true,TelteS
IMB4,Lamprologini,true,TelteS
IMD1,Lamprologini,true,Lepken
IMD2,Lamprologini,true,Lepken
JEG5,Limnochromini,true,Trioto
JEG6,Limnochromini,true,Trioto
JEI4,Lamprologini,true,Neobue
JEI5,Lamprologini,true,Neobue
JEI6,Lamprologini,true,Neofur
JEI8,Lamprologini,true,Neofur
JWH4,Lamprologini,true,Neomar
KEA4,Tropheini,true,Petkas
KEB4,Tropheini,true,Petkas
KFF4,Lamprologini,true,JulreK
KFH4,Lamprologini,true,Neotre
KFH5,Lamprologini,true,Neotre
KHA4,Tropheini,true,Trodub
KHA5,Tropheini,true,Trodub
IZA1,Haplochromini,true,Astbur
IZC5,Haplochromini,true,Astbur
LCA1,Lamprologini,true,Neolou
LCA2,Lamprologini,true,Neolou
LCB4,Lamprologini,true,NeogrM
LCB5,Lamprologini,true,NeofaM
LCC2,Lamprologini,true,NeofaM
LCC6,Lamprologini,true,NeogrM
LCD1,Tropheini,true,Petred
JWH1,Lamprologini,true,Neogra
JWH2,Lamprologini,true,Neogra
JWG8,Lamprologini,true,Neohel
JWG9,Lamprologini,true,Neohel
LFF7,Lamprologini,true,Lepkam
LFF8,Lamprologini,true,Lepkam
LFG8,Lamprologini,true,Julmrk
JWA9,Lamprologini,true,Lammel
LFH1,Lamprologini,true,Julmrk
KYA5,Lamprologini,true,Neonig
IND7,Lamprologini,true,Neosex
IND8,Lamprologini,true,Neosex
INE8,Perissodini,true,Plestr
INE9,Perissodini,true,Plestr
INF1,Ectodini,true,Asplep
INF2,Ectodini,true,Asplep
INH1,Cyprichromini,true,Cypkan
INH7,Cyphotilapiini,true,Cphgib
INH9,Cyphotilapiini,true,Cphgib
Z20,Oreochromini,true,Sthlin
LEA3,Ectodini,true,XenspN
LEA4,Ectodini,true,XenspN
JWI2,Lamprologini,true,Neolon
IVE8,Lamprologini,true,Neocra
