sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
A108	60044929	1590301	12231201	58454628	47813728	0.8179630875420163
A142	60044929	1547638	9340952	58497291	50703977	0.8667747879128284
A188	60044929	13862472	33007140	46182457	27037789	0.5854558366177876
A206	60044929	2626120	14635413	57418809	45409516	0.7908474033308494
AUA1	60044929	3030276	16231697	57014653	43813232	0.7684556459547338
AUA9	60044929	3224080	17060395	56820849	42984534	0.7564922868364744
AUB6	60044929	1912134	10386015	58132795	49658914	0.8542323485392368
AUC3	60044929	1743634	10425235	58301295	49619694	0.8510907690815445
AUC4	60044929	2689943	16901815	57354986	43143114	0.7522120919007809
AUD8	60044929	1539111	9706988	58505818	50337941	0.8603920553678952
AUE1	60044929	1702066	10935128	58342863	49109801	0.8417447906181772
AUE6	60044929	3428125	20241486	56616804	39803443	0.7030323188147463
AUE7	60044929	1779887	9063235	58265042	50981694	0.8749962627676472
AUG8	60044929	2976687	18049507	57068242	41995422	0.7358807723567163
AVA8	60044929	2603042	16362182	57441887	43682747	0.760468523605431
AVA9	60044929	2468678	16239862	57576251	43805067	0.7608183276816686
AVB2	60044929	2809344	17936453	57235585	42108476	0.7357044747598893
AVB6	60044929	1963717	11206663	58081212	48838266	0.8408616886300513
AVD4	60044929	3251534	19218456	56793395	40826473	0.7188595258304245
AVG5	60044929	2506303	15370726	57538626	44674203	0.7764210949354265
AVH2	60044929	2849872	15408275	57195057	44636654	0.7804285254930334
AWB7	60044929	3138672	18056910	56906257	41988019	0.7378453831535607
AWB9	60044929	2721803	18151374	57323126	41893555	0.7308316542262542
AWC5	60044929	2859327	14978328	57185602	45066601	0.7880760090625609
AWE2	60044929	3442974	19245532	56601955	40799397	0.7208125055044476
AWI4	60044929	2783239	18342544	57261690	41702385	0.7282772303786353
AWI5	60044929	2819160	18097260	57225769	41947669	0.733020625725449
AWI6	60044929	2836783	18327062	57208146	41717867	0.7292294877026778
AXA7	60044929	2403166	14895938	57641763	45148991	0.7832687386747695
AXB5	60044929	3070802	16735086	56974127	43309843	0.7601668560889051
AXB8	60044929	2953637	16388004	57091292	43656925	0.7646862327095347
AXD5	60044929	2630713	14925543	57414216	45119386	0.7858573911381111
AXF8	60044929	2248519	13220415	57796410	46824514	0.8101630187757336
AXH6	60044929	2962093	16105642	57082836	43939287	0.7697460406487162
AXH8	60044929	2906676	15581000	57138253	44463929	0.7781814575254865
AYC7	60044929	1783425	10203108	58261504	49841821	0.8554846266927816
AYE5	60044929	2767435	14977954	57277494	45066975	0.7868182047210376
BNC5	60044929	2404401	12226065	57640528	47818864	0.8296048918913442
BND3	60044929	3241148	16216951	56803781	43827978	0.7715679700969201
BND5	60044929	2814824	13712595	57230105	46332334	0.8095797482810839
Bel01	60044929	1887763	10487263	58157166	49557666	0.852133441302831
Bel03	60044929	6968099	31179182	53076830	28865747	0.5438483609514736
Bel06	60044929	6173157	28608907	53871772	31436022	0.5835342115718785
Bel07	60044929	3938808	21986354	56106121	38058575	0.6783319595378907
Bel09	60044929	4014722	24096372	56030207	35948557	0.6415924360229474
Bel12	60044929	4734038	24383303	55310891	35661626	0.6447487168485497
Bel13	60044929	5457542	28321784	54587387	31723145	0.5811442302596386
Bel14	60044929	4484168	25325856	55560761	34719073	0.6248847635474252
Bel16	60044929	5107355	27799881	54937574	32245048	0.5869397873302523
Bel18	60044929	3983015	23671151	56061914	36373778	0.6488144161471191
Bel33	60044929	8168579	31782797	51876350	28262132	0.5447980052567307
DMD1	60044929	2041926	15808532	58003003	44236397	0.7626570127757006
GPA1	60044929	8153189	29697185	51891740	30347744	0.5848280285070417
GPB2	60044929	5862338	25304950	54182591	34739979	0.6411649638534267
GPC4	60044929	1338960	6527539	58705969	53517390	0.9116175222318534
GPC6	60044929	5406281	27569917	54638648	32475012	0.5943597286667854
GPC9	60044929	2039634	11068980	58005295	48975949	0.84433583175467
GPD1	60044929	5215112	26922717	54829817	33122212	0.6040912374374695
GPF8	60044929	4564521	22190037	55480408	37854892	0.6823109880518543
GPF9	60044929	3247019	16847870	56797910	43197059	0.7605395867559211
GPH1	60044929	1097556	5432889	58947373	54612040	0.9264541780343629
GPH2	60044929	1832069	11131044	58212860	48913885	0.8402590939527795
GPH7	60044929	3055255	17887507	56989674	42157422	0.7397379040982056
HFG1287	60044929	1278918	8579175	58766011	51465754	0.8757741613600419
HXC4	60044929	6093920	28848891	53951009	31196038	0.5782290003139701
HXC5	60044929	2431525	13085209	57613404	46959720	0.8150832400043573
HXC6	60044929	1290014	5065216	58754915	54979713	0.9357466179637908
HXC7	60044929	6033160	29427385	54011769	30617544	0.5668680098220815
HXC8	60044929	2651070	16239126	57393859	43805803	0.7632489566523136
ILA7	60044929	2132692	11498769	57912237	48546160	0.8382711930122817
ILB4	60044929	2670930	15331081	57373999	44713848	0.7793399236472953
ILB6	60044929	5195269	26396760	54849660	33648169	0.6134617607474686
ILB7	60044929	4800516	24921379	55244413	35123550	0.635784653916044
ILC1	60044929	5308281	24459136	54736648	35585793	0.6501273698747501
ILD3	60044929	3686434	17980286	56358495	42064643	0.7463762650155935
ILD9	60044929	4252607	22656154	55792322	37388775	0.670141941753204
ILE5	60044929	8715682	34720054	51329247	25324875	0.4933809958287524
ILE6	60044929	2815176	16982416	57229753	43062513	0.7524497441042599
ILF7	60044929	5903720	26898480	54141209	33146449	0.6122221799664651
ILF8	60044929	2190887	13480541	57854042	46564388	0.8048597192223838
ILG3	60044929	2293031	13496502	57751898	46548427	0.8060068779038223
ILG7	60044929	2688453	13639960	57356476	46404969	0.8090624152013802
ILH1	60044929	5578522	28112002	54466407	31932927	0.5862866445366958
IMA1	60044929	3585053	21153138	56459876	38891791	0.6888394689354259
IMA2	60044929	4869232	26392711	55175697	33652218	0.6099101566401599
IMB3	60044929	6653877	31254267	53391052	28790662	0.5392413320494228
IMB4	60044929	2583522	15047667	57461407	44997262	0.7830866724164969
IMD1	60044929	1273252	5929769	58771677	54115160	0.9207693699126537
IMD2	60044929	3594925	19387833	56450004	40657096	0.7202319418790475
