sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
A108	59265041	1555061	23795468	57709980	35469573	0.6146176623176789
A142	59265041	1512301	16605397	57752740	42659644	0.7386600878157469
A188	59265041	13610986	41964983	45654055	17300058	0.37893803737696463
A206	59265041	2566480	25864865	56698561	33400176	0.5890833102448579
AUA1	59265041	2964683	32462443	56300358	26802598	0.476064432840729
AUA9	59265041	3155241	33593546	56109800	25671495	0.4575224827035562
AUB6	59265041	1860358	21547695	57404683	37717346	0.6570430151142895
AUC3	59265041	1701300	21680337	57563741	37584704	0.6529232351316431
AUC4	59265041	2629011	34092258	56636030	25172783	0.4444658815245348
AUD8	59265041	1495989	20434334	57769052	38830707	0.6721714422455816
AUE1	59265041	1655616	23401608	57609425	35863433	0.6225271819671868
AUE6	59265041	3354878	38720137	55910163	20544904	0.3674627813193819
AUE7	59265041	1737279	17872152	57527762	41392889	0.7195289293541438
AUG8	59265041	2911384	35798365	56353657	23466676	0.41641797975950345
AVA8	59265041	2544688	33631579	56720353	25633462	0.4519270534159052
AVA9	59265041	2413718	33549529	56851323	25715512	0.4523291744679363
AVB2	59265041	2749362	35717394	56515679	23547647	0.4166568891439843
AVB6	59265041	1910625	23180848	57354416	36084193	0.629144109845003
AVD4	59265041	3182098	37371286	56082943	21893755	0.39038170660908433
AVG5	59265041	2450743	31552221	56814298	27712820	0.48777897422933925
AVH2	59265041	2787353	31221077	56477688	28043964	0.49654943382243266
AWB7	59265041	3069027	35848513	56196014	23416528	0.4166937534039336
AWB9	59265041	2659536	36659675	56605505	22605366	0.3993492505720071
AWC5	59265041	2799444	29955791	56465597	29309250	0.5190638469650821
AWE2	59265041	3369059	37547798	55895982	21717243	0.3885295905526805
AWI4	59265041	2719108	36576008	56545933	22689033	0.4012496000375482
AWI5	59265041	2755138	36097701	56509903	23167340	0.40996955878689084
AWI6	59265041	2772669	35859727	56492372	23405314	0.4143092805520717
AXA7	59265041	2348590	31042950	56916451	28222091	0.49585120829125484
AXB5	59265041	3004858	33400577	56260183	25864464	0.4597294679969313
AXB8	59265041	2887258	33052112	56377783	26212929	0.4649513976099415
AXD5	59265041	2570364	30578300	56694677	28686741	0.5059864967570059
AXF8	59265041	2188987	27293608	57076054	31971433	0.5601549294210143
AXH6	59265041	2897875	32203358	56367166	27061683	0.48009656898485903
AXH8	59265041	2846693	30637306	56418348	28627735	0.507418880822246
AYC7	59265041	1734565	21243836	57530476	38021205	0.660888065657583
AYE5	59265041	2706327	30515616	56558714	28749425	0.5083111507804084
BNC5	59265041	2352080	24791273	56912961	34473768	0.6057278938623488
BND3	59265041	3170049	32138179	56094992	27126862	0.48358794667445537
BND5	59265041	2752333	27615603	56512708	31649438	0.5600410796099171
Bel01	59265041	1842994	19644720	57422047	39620321	0.6899844758233714
Bel03	59265041	6845849	48749186	52419192	10515855	0.20061078011274955
Bel06	59265041	6057697	46079402	53207344	13185639	0.2478161473348491
Bel07	59265041	3860509	38577081	55404532	20687960	0.3733983349954116
Bel09	59265041	3937343	42729006	55327698	16536035	0.2988744444057658
Bel12	59265041	4644831	42069735	54620210	17195306	0.3148158163434377
Bel13	59265041	5359109	46650229	53905932	12614812	0.2340152842548015
Bel14	59265041	4397510	43686025	54867531	15579016	0.2839387104916385
Bel16	59265041	5006103	46149036	54258938	13116005	0.24172985103394393
Bel18	59265041	3896461	41580596	55368580	17684445	0.3193949528776068
Bel33	59265041	8039981	47400544	51225060	11864497	0.23161509230052635
DMD1	59265041	1992788	33461656	57272253	25803385	0.45053902454300165
GPA1	59265041	8006235	46828925	51258806	12436116	0.2426142349082419
GPB2	59265041	5741645	42508200	53523396	16756841	0.3130750709465446
