taxa	tree
Batfas,HemstZ	bathybatini
Tremar,Treuni	trematocarini
Julunt,Neovar	lamprologinibb
Pettre,Troann	tropheinibb
Erecya,Eremar	eretmodini
BenhoM,Benmel	benthochromini
Plemul,Plestr	perissodini
Cypcol,Pcytem	cyprichromini
Gralem,Xenfla	ectodinibb
Gwcsta,Tchdha	limnochromini
Cphfr5,Cteben	cyphotilapiini
Carsch,Ophpar	ectodini1
Xencau,Xenfla	ectodini2
Loblab,Pettre	tropheini1
Troann,Trodub	tropheini2
Lamorn,NeoveB	lamprologini1
Neovar,Neople	lamprologini2
Neopec,Julunt	lamprologini3
Neofal,Neogra	lamprologini4
Lepcun,TeldhT	lamprologini5
Astbur		astatotilapini
Ortcho		pseudocrenilabrini
Sermac		serranochromini
Ortuvi		orthochromini
