A108	Neonve
A142	Neohec
A188	Neospl
A206	XenpaK
AUA1	Auldew
AUA9	Auldew
AUB6	Simple
AUC3	Varmoo
AUC4	Varmoo
AUD8	Simdia
AUE1	Simdia
AUE6	Lepelo
AUE7	Altfas
AUG8	Lepelo
AVA8	Ctehor
AVA9	Chabri
AVB2	Chabri
AVB6	Simple
AVD4	Lepatt
AVG5	Lepatt
AVH2	Cyafur
AWB7	Gnapfe
AWB9	Petpol
AWC5	Enamel
AWE2	Gnapfe
AWI4	Petpol
AWI5	Limdar
AWI6	Limdar
AXA7	Ctehor
AXB5	Xenspi
AXB8	Xenspi
AXD5	Altfas
AXF8	Psccur
AXH6	Ophnas
AXH8	Ophnas
AYC7	Psccur
AYE5	Cyafur
Bel01	Xenkil
Bel07	Chapop
Bel12	Ophhet
Bel13	Neohec
Bel14	Neohec
Bel16	Cypkib
Bel18	Cypkib
Bel03	Xenkil
Bel33	Trevar
Bel06	Ophhet
Bel09	Chapop
BNC5	Enamel
BND3	Calmac
BND5	Calmac
DMD1	Cteben
GPA1	Trenig
GPB2	Batfas
GPC4	Pcynig
GPC6	Pcynig
GPC9	Cypzon
GPD1	Cypzon
GPF8	Xensun
GPF9	Xensun
GPH1	Neocyl
GPH2	Neocyl
GPH7	Petfas
HFG1287	Jultra
HXC4	HplspC
HXC5	HplspC
HXC6	Ortcho
HXC7	Ortcho
HXC8	Telluf
ILA7	Neocal
ILB4	Neomux
ILB6	Neobre
ILB7	Neobre
ILC1	Lamoce
ILD3	Lamoce
ILD9	Julkom
ILE5	Neokom
ILE6	Neokom
ILF7	Batleo
ILF8	Benhor
ILG3	Benhor
ILG7	Batgra
ILH1	Neomux
IMA1	Neoobs
IMA2	Neoobs
IMB3	TelteS
IMB4	TelteS
IMD1	Lepken
IMD2	Lepken
IMF7	Xennas
IMF8	Xennas
IMG9	Neomod
IMH3	Neomod
INA6	Julkom
INC7	Neocal
IND7	Neosex
IND8	Neosex
INE8	Plestr
INE9	Plestr
INF1	Asplep
INF2	Asplep
INH1	Cypkan
INH7	Cphgib
INH9	Cphgib
IOD4	Cyafoa
IOD6	Cyafoa
IOD9	Trored
IOE1	Trored
IOE2	Altcal
IOE3	Altcal
IOH4	Lepcun
IOH5	Lepcun
IPB6	Intloo
IPC1	Peteph
IPD6	Lamlem
IPE3	Xenbou
IPE7	Xenbou
IPF3	Intloo
IPF7	Neotet
IPG3	Neotet
IPH2	Lamcal
IQA3	Neocau
IQA4	Neocau
IQB6	Hapmic
IQB8	Hapmic
IQB9	Pcybri
IQC1	Pcybri
IQC4	Permic
IQD3	Ophven
IQE4	Ophven
IQI4	Permic
IRA1	Lesper
IRA2	Lesper
IRB2	Julreg
IRB8	Julreg
IRC4	Juldic
IRC5	Juldic
IRD7	Ectdes
IRD8	Ectdes
IRD9	Xensin
IRE3	Xensin
IRF6	Neomul
IRF8	Neomul
IRH2	Altshe
IRH4	Altshe
IRI8	Telshe
IRI9	Telshe
ISA1	Tremar
ISA3	Tremar
ISA6	Neopul
ISA8	Neosav
ISB1	Altcom
ISB3	Neopul
ISB7	Julorn
ISC1	Julorn
ISC9	Altcom
ISD8	Loblab
ISE5	Loblab
ISI2	Cyplep
ISI6	Cyplep
ITA4	Gnaper
ITA6	Gwcsta
ITB1	Lchaur
ITB3	Gwcabe
ITB4	Gwcabe
ITC2	Gwcsta
ITD7	Batleo
ITG2	Neochr
ITH3	Batfas
IUD8	Tremac
IUD9	Tremac
IUE5	Trenig
IUE7	Tresti
IUF7	XenorS
IUF8	XenorS
IUI1	Regcal
IUI4	Regcal
IUI5	Gnaper
IUI7	Xenhec
IUI8	Batgra
IVB4	Xenbat
IVB5	Xenbat
IVE8	Neocra
IVF1	Neocra
IVF4	Xenpap
IVF5	Xenpap
IVH1	Neopro
IVH2	Neopro
IWB5	Pethor
IWB6	Pethor
IWC9	Pettre
IWD4	Pettre
IWD5	Lamsig
IWD6	Lamsig
IWD7	Cunlon
IWD8	Cunlon
IXA3	Treuni
IXA4	Perecc
IXA5	Batmin
IXA6	Treuni
IXB5	Gwcbel
IXB6	Gwcbel
IXB8	Benmel
IXB9	Xencau
IXC1	Xencau
IXC2	Hemste
IXC3	Hemste
IXF4	XenniS
IYA4	Neosav
IYA5	Peteph
IYA6	Petfam
IYA7	Petfam
IYA8	Cteben
IZA1	Astbur
IZA2	Benmel
IZA5	HemstZ
IZA8	Plemul
IZA9	Plemul
IZB2	Perecc
IZC5	Astbur
IZC7	XenniS
IZE1	Tresti
IZE4	Gwcchr
IZF1	Gwcchr
IZH7	Erecya
IZI3	Erecya
IZI7	Lamlem
IZI8	Neochr
JAB1	Lamcal
JAB6	Oretan
JAB7	Baicen
JAC7	Oretan
JAE1	Petfas
JAE7	Boumic
JAE9	Baicen
JAF5	Lchaur
JAF7	Xenfla
JAF9	Xenfla
JAH7	Xenhec
JBD5	Telvit
JBD6	Telvit
JBE6	Mdcrot
JBE7	Mdcrot
JBE8	Telbra
JBE9	Telbra
JBG3	Batmin
JBH4	Tromoo
JBH5	Tromoo
JCF2	Boumic
JDD7	Gralem
JDD8	Gralem
JDE3	Bathor
JDE4	Bathor
JDE6	Batvit
JDE7	Batvit
JDF3	Neomee
JDF4	Neomee
JDF5	Lamorn
JDG4	Lamorn
JDI1	Neolap
JDI2	Neolap
JDI4	Plepar
JEB2	Cyppav
JEB4	Cyppav
JEC7	Cypcol
JED2	Cypcol
JED4	NeoveS
JED5	NeoveS
JEG5	Trioto
JEG6	Trioto
JEI4	Neobue
JEI5	Neobue
JEI6	Neofur
JEI8	Neofur
JUA3	Simbab
JUA4	Simbab
JUB6	Spaery
JUB7	Spaery
JUD4	TeldhN
JUD5	TeldhN
JUH9	Neobri
JUI1	Neobri
JVB4	Neomon
JVB8	Neomon
JVC3	Tronig
JVC9	Tronig
JVE1	Cypmic
JVF2	Cypmic
JVH2	Lessta
JVH3	Lessta
JVH4	Xenoch
JVI5	Xenoch
JVI9	Telbri
JWA1	Julunt
JWA2	Julunt
JWA3	LamorC
JWA4	LamorC
JWA5	Neovar
JWA6	Neovar
JWA7	Neopec
JWA8	Lammel
JWA9	Lammel
JWC8	Tellan
JWC9	Tellan
JWD1	Pcytem
JWD2	Pcytem
JWE3	Hetbut
JWE6	Copren
JWE7	Gobeth
JWE8	Steult
JWF2	Pelmar
JWF3	Phaacu
JWF4	Sarcar
JWF5	Sermac
JWF6	Lamtig
JWF7	Tilspa
JWF8	Thobra
JWF9	Tilbre
JWG1	Psephi
JWG2	Ctepol
JWG3	Hplvan
JWG4	Troann
JWG5	Troann
JWG8	Neohel
JWG9	Neohel
JWH1	Neogra
JWH2	Neogra
JWH3	Neomar
JWH4	Neomar
JWH5	Neooli
JWH6	Neooli
JWH9	NeoleL
JWI2	Neolon
JWI3	Neolon
JWI6	Neopec
JXA4	Telbri
JXB5	JulmaN
JXC1	JulmaN
JXD4	Neofal
JXD7	Neofal
JXE9	Eremar
JXF4	Eremar
JXG8	Lamkun
JXH2	Lamkun
JXH4	Petort
JXH5	Petort
JXI2	PcybrN
JXI4	PcybrN
JYD3	Hplsta
JYD5	Hplsta
JYF7	Ophpar
JYG5	Ophpar
JYH3	Tanirs
JYH7	Tanirs
JYI8	Trobri
JZA3	Trobri
JZB7	Spamar
JZD3	Spamar
JZD5	Neotoa
JZD6	Neotoa
JZE2	Calple
JZE4	Calple
JZE6	Xenorn
JZE8	Xenorn
JZF1	Neople
JZF2	Neople
JZF3	Lamorn
JZF4	Lamorn
KAD2	Leppro
KAE8	Arcstr
KAF1	Carsch
KAF2	Carsch
KAF3	Calmel
KAF4	Calmel
KAF5	Xenlon
KAF6	Xenlon
KAG3	Cphfr5
KAG7	NeoveB
KAG8	NeoveB
KCE5	Neobou
KCE7	Simmar
KCF3	Simmar
KCG2	Lamspe
KCG3	Lamspe
KCI6	NeobrM
KCI7	NeobrM
KDC6	Ortmaz
KDG2	Cphfr5
KEA4	Petkas
KEB4	Petkas
KEB8	Leppro
KEC1	Neosim
KEC2	Neosim
KED6	Trolun
KED7	Trolun
KEE9	Chando
KEF1	Chando
KEF2	Troluk
KEF3	Troluk
KEH3	Neoleu
KFA7	Cypdwj
KFA9	Cypdwj
KFD2	Neowal
KFD4	Neowal
KFE8	Simmrg
KFF1	Simmrg
KFF4	JulreK
KFH4	Neotre
KFH5	Neotre
KHA4	Trodub
KHA5	Trodub
KHA7	Neochi
KHA9	Neochi
KHC4	EctspN
KHC5	EctspN
KHE6	JulreK
KYA1	Neonig
KYA5	Neonig
KYB7	Telbif
KYB8	Telbif
KYB9	Neobou
KYE2	Ortred
KYE7	Ortuvi
KYG1	Astpal
KYH4	Oremal
LBA1	JulmaS
LBE2	Xensim
LBE9	Xensim
LBF3	JulmaS
LBF7	TeldhS
LBF8	TeldhS
LCA1	Neolou
LCA2	Neolou
LCB4	NeogrM
LCB5	NeofaM
LCC2	NeofaM
LCC6	NeogrM
LCD1	Petred
LCD5	Petred
LCD6	Batfer
LCD7	Batfer
LCF1	Trokir
LCF3	Trokir
LCF6	Petmos
LCF8	Petmos
LDA4	Petmac
LDA7	Bentri
LDA9	Bentri
LDC6	Petgia
LDD1	Lepmim
LDD6	Lepmim
LDD9	Chabif
LDE1	Chabif
LDE3	Petkip
LDE4	Petkip
LDF4	NeofuU
LDF5	NeofuU
LDG2	NeocaK
LDG3	NeocaK
LDI5	Trompi
LDI7	Trompi
LEA3	XenspN
LEA4	XenspN
LEC7	Plepar
LEE1	Neoleu
LEF2	BenhoK
LEF8	Tropol
LEF9	Tropol
LEH2	Neodev
LEI6	Cphfro
LEI9	Cphfro
LFA6	Petiko
LFA8	Petiko
LFB7	Neoese
LFB9	Neoese
LFC9	Trezeb
LFD2	Neocyg
LFD4	Neocyg
LFE4	Trezeb
LFF7	Lepkam
LFF8	Lepkam
LFG8	Julmrk
LFH1	Julmrk
LFI4	Ophboo
LFI6	Ophboo
LGA5	TrobrK
LGA6	TrobrK
LGB5	Petrai
LGB8	Petrai
LGE2	Neotim
LGE3	Neotim
LGG6	Chacya
LGG7	Chacya
LGH1	Ophwhi
LGH3	Ophwhi
LGH8	Neopet
LGI1	Neopet
LHA2	LepmeK
LHA5	LepmeK
LHB1	Pettex
LHB3	Pettex
LHC1	TeldhT
LHD2	Petgia
LHD9	Tromor
LHE3	Tromor
LHF2	TeldhT
LHF6	Neobif
