DNA_Tube	specimenID	speciesID	speciesIDTribe	sex	Assembly.status
LHE3	S_LHE3	Tromor	Tropheini	F	done
JWF4	S_JWF4	Sarcar	Serranochromini	Juvenile	done
JWE1	S_JWE1	Ampzal	Amphilophini	M	done
GPB2	S_GPB2	Batfas	Bathybatini	F	done
ILG7	S_ILG7	Batgra	Bathybatini	M	done
IUI8	S_IUI8	Batgra	Bathybatini	F	done
ITH3	S_ITH3	Batfas	Bathybatini	M	done
JDE4	S_JDE4	Bathor	Bathybatini	M?	missing
JDE3	S_JDE3	Bathor	Bathybatini	M	done
ILF7	S_ILF7	Batleo	Bathybatini	F	done
ITD7	S_ITD7	Batleo	Bathybatini	M	done
IXA5	S_IXA5	Batmin	Bathybatini	F	done
IXC2	S_IXC2	Hemste	Bathybatini	M	done
IXC3	S_IXC3	Hemste	Bathybatini	F	done
IZA5	S_IZA5	HemstZ	Bathybatini	NA	done
JBG3	S_JBG3	Batmin	Bathybatini	M	done
JDE6	S_JDE6	Batvit	Bathybatini	M	done
JDE7	S_JDE7	Batvit	Bathybatini	F	done
LCD6	S_LCD6	Batfer	Bathybatini	M	done
LCD7	S_LCD7	Batfer	Bathybatini	F	done
LJC5	S_LJC5	HemstZ	Bathybatini	F	done
ILF8	S_ILF8	Benhor	Benthochromini	M	done
ILG3	S_ILG3	Benhor	Benthochromini	F	done
LEF2	S_LEF2	BenhoM	Benthochromini	M	done
IXB8	S_IXB8	Benmel	Benthochromini	M	done
IZA2	S_IZA2	Benmel	Benthochromini	F	done
LDA7	S_LDA7	Bentri	Benthochromini	M	done
LDA9	S_LDA9	Bentri	Benthochromini	F	done
JAE7	S_JAE6	Boumic	Boulengerochromini	F	done
JCF2	S_JCF2	Boumic	Boulengerochromini	M	done
JWE4	S_JWE4	Bencon	Chromidotilapini	M	done
JWI4	S_JWI4	Peltae	Chromidotilapini	M	done
JWI5	S_JWI5	Peltae	Chromidotilapini	F	done
JWD7	S_JWD7	Andbis	Cichlasomini	NA	done
JWD8	S_JWD8	Bujvit	Cichlasomini	M	done
JWE5	S_JWE5	Copbak	Coptodini	NA	done
JWE6	S_JWE6	Copren	Coptodini	M	done
KAG3	S_KAG3	Cphfr5	Cyphotilapiini	M	done
KDG2	S_KDG2	Cphfr5	Cyphotilapiini	F	done
DMD1	S_DMD1	Cteben	Cyphotilapiini	M	done
INH7	S_INH7	Cphgib	Cyphotilapiini	M	done
INH9	S_INH9	Cphgib	Cyphotilapiini	F	done
IYA8	S_IYA8	Cteben	Cyphotilapiini	F	done
LEI6	S_LEI6	Cphfro	Cyphotilapiini	F	done
LEI9	S_LEI9	Cphfro	Cyphotilapiini	M	done
JVE1	S_JVE1	Cypmic	Cyprichromini	M	done
JVF2	S_JVF2	Cypmic	Cyprichromini	F	done
JXI2	S_JXI2	PcybrN	Cyprichromini	M	done
JXI4	S_JXI4	PcybrN	Cyprichromini	F	done
GPC6	S_GPC6	Pcynig	Cyprichromini	F	done
KFA7	S_KFA7	Cypdwj	Cyprichromini	M	done
KFA9	S_KFA9	Cypdwj	Cyprichromini	F	done
GPC4	S_GPC4	Pcynig	Cyprichromini	M	done
Bel16	S_Bel16	Cypkib	Cyprichromini	M	done
Bel18	S_Bel18	Cypkib	Cyprichromini	F	done
GPC9	S_GPC9	Cypzon	Cyprichromini	M	done
GPD1	S_GPD1	Cypzon	Cyprichromini	F	done
INH1	S_INH1	Cypkan	Cyprichromini	M	done
IQC1	S_IQC1	Pcybri	Cyprichromini	F	done
ISI2	S_ISI2	Cyplep	Cyprichromini	M	done
ISI6	S_ISI6	Cyplep	Cyprichromini	F	done
JEB2	S_JEB2	Cyppav	Cyprichromini	M	done
JEB4	S_JEB4	Cyppav	Cyprichromini	F	done
JEC7	S_JEC7	Cypcol	Cyprichromini	M	done
JED2	S_JED2	Cypcol	Cyprichromini	F	done
JWD1	S_JWD1	Pcytem	Cyprichromini	M	done
JWD2	S_JWD2	Pcytem	Cyprichromini	F	done
BND3	S_BND3	Calmac	Ectodini	M	done
BND5	S_BND5	Calmac	Ectodini	F	done
AVH2	S_AVH2	Cyafur	Ectodini	M	done
AYE5	S_AYE5	Cyafur	Ectodini	F	done
AWC5	S_AWC5	Enamel	Ectodini	M	done
BNC5	S_BNC5	Enamel	Ectodini	F	done
IQD3	S_IQD3	Ophven	Ectodini	M	done
IQE4	S_IQE4	Ophven	Ectodini	F	done
IPE3	S_IPE3	Xenbou	Ectodini	M	done
IPE7	S_IPE7	Xenbou	Ectodini	F	done
IMF7	S_IMF7	Xennas	Ectodini	M	done
IMF8	S_IMF8	Xennas	Ectodini	F	done
AXB5	S_AXB5	Xenspi	Ectodini	M	done
AXB8	S_AXB8	Xenspi	Ectodini	F	done
AUA1	S_AUA1	Auldew	Ectodini	F	done
AUA9	S_AUA9	Auldew	Ectodini	F	done
AXH8	S_AXH8	Ophnas	Ectodini	F	done
Bel03	S_Bel03	Xenkil	Ectodini	M	done
Bel06	S_Bel06	Ophhet	Ectodini	M	done
GPF8	S_GPF8	Xensun	Ectodini	M	done
IOD4	S_IOD4	Cyafoa	Ectodini	F	done
IOD6	S_IOD6	Cyafoa	Ectodini	M	done
IRA1	S_IRA1	Lesper	Ectodini	M	done
IRA2	S_IRA2	Lesper	Ectodini	F	done
IRD8	S_IRD8	Ectdes	Ectodini	F	done
IRE3	S_IRE3	Xensin	Ectodini	F	done
IUF7	S_IUF7	Xensim	Ectodini	M	done
IVB5	S_IVB5	Xenbat	Ectodini	F	done
IVF5	S_IVF5	Xenpap	Ectodini	F	done
IWD8	S_IWD8	Cunlon	Ectodini	F	done
IXC1	S_IXC1	Xencau	Ectodini	F	done
IZC7	S_IZC7	XenniS	Ectodini	M	done
JBE6	S_JBE6	Mdcrot	Ectodini	M	done
JDD8	S_JDD8	Gralem	Ectodini	F	done
JVH2	S_JVH2	Lessta	Ectodini	F	done
JVH3	S_JVH3	Lessta	Ectodini	M	done
JYF7	S_JYF7	Ophpar	Ectodini	M	done
JZE2	S_JZE2	Calple	Ectodini	M	done
JZE8	S_JZE8	Xenorn	Ectodini	F	done
KAF1	S_KAF1	Carsch	Ectodini	M	done
KAF3	S_KAF3	Calmel	Ectodini	M	done
KAF4	S_KAF4	Calmel	Ectodini	F	done
KAF5	S_KAF5	Xenlon	Ectodini	M	done
KHC4	S_KHC4	EctspN	Ectodini	M	done
KHC5	S_KHC5	EctspN	Ectodini	F	done
LBE2	S_LBE2	Xensim	Ectodini	M	done
LBE9	S_LBE9	Xensim	Ectodini	F	done
LEA3	S_LEA3	XenspN	Ectodini	M	done
LEA4	S_LEA4	XenspN	Ectodini	F	done
LFI6	S_LFI6	Ophboo	Ectodini	F	done
LGH1	S_LGH1	Ophwhi	Ectodini	M	done
LGH3	S_LGH3	Ophwhi	Ectodini	F	done
AXH6	S_AXH6	Ophnas	Ectodini	M	done
Bel12	S_Bel12	Ophhet	Ectodini	M	done
GPF9	S_GPF9	Xensun	Ectodini	F	done
IRD9	S_IRD9	Xensin	Ectodini	M	done
IWD7	S_IWD7	Cunlon	Ectodini	M	done
IXB9	S_IXB9	Xencau	Ectodini	M	done
JBE7	S_JBE7	Mdcrot	Ectodini	F	done
A206	S_A206	XenpaK	Ectodini	F	done
Bel01	S_Bel01	Xenkil	Ectodini	M	done
INF1	S_INF1	Asplep	Ectodini	F	done
IVF4	S_IVF4	Xenpap	Ectodini	M	done
IXF4	S_IXF4	XenniS	Ectodini	F	done
JAF7	S_JAF7	Xenfla	Ectodini	M	done
JAF9	S_JAF9	Xenfla	Ectodini	F	done
JVI5	S_JVI5	Xenoch	Ectodini	F	done
JZE4	S_JZE4	Calple	Ectodini	F	done
KAF2	S_KAF2	Carsch	Ectodini	F	done
KAF6	S_KAF6	Xenlon	Ectodini	F	done
LHG4	S_LHG4	Mdcten	Ectodini	M	done
LHG6	S_LHG6	Mdcten	Ectodini	F	done
JDD7	S_JDD7	Gralem	Ectodini	M	done
INF2	S_INF2	Asplep	Ectodini	M	done
JXF4	S_JXF4	Eremar	Eretmodini	F	done
JUB6	S_JUB6	Spaery	Eretmodini	M	done
JUB7	S_JUB7	Spaery	Eretmodini	F	done
JYH3	S_JYH3	Tanirs	Eretmodini	M	done
