DNA Tube ID	Specimen ID	Extracted	Extracted By	Finclip Completely Used	Genome Sequenced (y/n)	on Scicore	second file	Species ID	Sex	Morph	Whole Specimen	Date (YYYY.MM.DD)	Standard Length (cm)	Total Length (cm)	Weight (g)	location
LPE7	S_LPE7							Baicen	F			2016.08.25	11.8	14.7	28.8	Chipwa Fishermen
IPF9	S_IPF9							Lepelo	NA			2014.07.21	8.3	9.9	9.7	Toby's Place
GPA6	S_GPA6							Tre sp.	F			2014.09.02	6.9	8.7	8.6	Mpulungu Fishmarket
ILD8	S_ILD8							LamorS	M			2014.08.15	5.4	6.4	3.3	Kombe
MQC9	S_MQC9							Auldew	M			2017.08.01	8.9	11.6	16.9	Toby's Place
IWI2	S_IWI2							Neomux	NA		S_IWI2	2014.08.28	6.1	7.2	6.0	Chimba village
MQB2	S_MQB2							Simple	M			2017.07.31	7.2	8.6	12.0	Toby's Place
MQB3	S_MQB3							Simple	F			2017.07.31	6.8	8.0	10.3	Toby's Place
MQB4	S_MQB4							Simple	F			2017.07.31	6.7	8.0	8.4	Toby's Place
MQB5	S_MQB5							Simple	F			2017.07.31	6.0	7.3	6.7	Toby's Place
MQB6	S_MQB6							Simple	F			2017.07.31	6.1	7.3	6.6	Toby's Place
MQB7	S_MQB7							Petfas	F			2017.07.31	7.4	9.0	13.9	Toby's Place
MQB8	S_MQB8							Neomod	M			2017.07.31	7.0	8.6	8.7	Toby's Place
MQB9	S_MQB9							Neomod	F			2017.07.31	7.1	8.7	9.1	Toby's Place
MQC1	S_MQC1							Neomod	F			2017.07.31	7.4	9.0	10.0	Toby's Place
MQC2	S_MQC2							Neomod	M			2017.07.31	5.7	7.0	3.8	Toby's Place
MQC3	S_MQC3							Auldew	M			2017.08.01	8.4	11.5	14.7	Toby's Place
MQC4	S_MQC4							Auldew	M			2017.08.01	8.3	11.0	15.8	Toby's Place
MQC5	S_MQC5							Auldew	M			2017.08.01	8.6	11.3	16.5	Toby's Place
MQC6	S_MQC6							Auldew	M			2017.08.01	8.9	11.6	16.3	Toby's Place
MQC7	S_MQC7							Auldew	M			2017.08.01	8.5	11.4	17.0	Toby's Place
MQD1	S_MQD1							Auldew	M			2017.08.01	9.2	12.1	19.2	Toby's Place
MQD2	S_MQD2							Auldew	M			2017.08.01	9.0	11.4	17.5	Toby's Place
MQD3	S_MQD3							Auldew	M			2017.08.01	9.2	12.1	22.1	Toby's Place
MQD4	S_MQD4							Auldew	F			2017.08.01	5.9	7.8	5.2	Toby's Place
MQD5	S_MQD5							Auldew	F			2017.08.01	6.2	8.0	6.8	Toby's Place
MQD6	S_MQD6							Auldew	Juvenile			2017.08.01	6.8	8.7	7.6	Toby's Place
MQD7	S_MQD7							Lepelo	Juvenile			2017.08.01	8.5	10.2	11.6	Toby's Place
