Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Tellon	Telmatochromis sp. Longola	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Cypkib	"Cyprichromis sp. ""Kibishi"""	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	NA
Bentri	Benthochromis tricoti	Benthochromini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8148
Boumic	Boulengerochromis microlepis	Boulengerochromini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/6008
Neople	Neolamprologus pleuromaculatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8750
Ortcho	"Orthochromis sp. ""Chomba"""	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	NA
Pettre	Petrochromis trewavasae	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8807
Phaacu	Pharyngochromis acuticeps	Serranochromini	Zambezi River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/6677
Pleela	Plecodus elaviae	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8812
Plemul	Plecodus multidentatus	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8813
Ortred	"Orthochromis sp. ""Red"""	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	NA
Ophhet	Ophthalmotilapia heterodonta	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.se/summary/8775
Ophnas	Ophthalmotilapia nasuta	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8776
OphpaK	Ophthalmotilapia paranasuta Kigoma	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	NA
Ophpar	Ophthalmotilapia paranasuta	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	NA
Ophven	Ophthalmotilapia ventralis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8777
Ophwhi	"Ophthalmotilapia sp. ""white cap"""	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	NA
Oremal	Oreochromis malagarazi	Oreochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/2038
Oreand	Oreochromis andersoni	Oreochromini	Zambezi River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/1399
Ortmaz	Orthochromis mazimeroensis	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/52117
Ortuvi	Orthochromis uvinzae	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/52136
Parpol	"Paratilapia polleni ""Andapa"""	Paratilapini	Madagascar	Substrate spawning	open spawning	http://www.fishbase.se/summary/8786
Pcybri	Paracyprichromis brieni South	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8781
PcybrN	Paracyprichromis brieni North	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8781
Lepnka	Lepidiolamprologus Nkambae	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	
Pcynig	Paracyprichromis nigripinnis	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8782
Pcytem	Paracyprichromis sp. Tembwe	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Pelmar	Pelmatolapia mariae	Pelmatolapini	Cameroon	Substrate spawning	open spawning	http://www.fishbase.org/summary/2489
Peltae	Pelvicachromis taeniatus	Chromidotilapini	Cameroon	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8799
Perecc	Perissodus eccentricus	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8800
Permic	Perissodus microlepis	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8801
Peteph	Petrochromis ephippium	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8808
Petfam	Petrochromis famula	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/8802
Petfas	Petrochromis fasciolatus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8803
Petgia	"Petrochromis sp. ""giant"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/8806
