ID,d15N,d13C
88-05-a,5.817516413,-22.50409346
IZG2,6.843704004,-20.25689492
KCC7,8.342877424,-20.92421619
89-07-a,5.639581769,-21.72942695
ILI2,6.947720947,-20.32339622
MOB4,8.259643688,-20.73276674
89-07-c,6.119706247,-22.58114098
89-07-d,5.217109765,-21.75858193
IXC9,7.940886882,-20.42263575
JBA7,7.457958876,-11.86732695
88-06,6.36225258,-21.47327661
88-10,4.952690933,-18.43343208
89-28-a,5.568010188,-17.66684508
89-28-c,5.188282187,-17.61164066
89-15-b,6.098831326,-19.19684752
89-15-c,5.861254481,-18.07097563
89-15-d,6.0779564,-18.43134903
89-02,5.005375953,-19.93001557
89-05-a,5.058060941,-20.62148681
89-05-b,5.383116659,-20.76415004
89-05-c,4.964619619,-20.43300222
89-07-b,5.600813836,-22.10635403
88-11-b,7.633621512,-19.39055805
93-43-b,6.748933634,-19.0343783
88-19,6.578953231,-22.44995166
91-06-b,6.83143862,-19.65195834
IOA7,6.664454678,-22.44687091
JEF7,7.323656216,-19.92862211
IVH7,6.577934184,-18.57281643
89-16-a,5.523277919,-21.36498383
89-16-b,5.597831687,-20.17161832
89-17,6.586905538,-21.61593009
89-30-a,6.864241785,-18.2188758
89-30-b,6.469608935,-18.70943351
89-30-c,6.762850143,-18.39906166
89-30-d,6.321496892,-19.01771467
89-30-e,6.347341965,-19.62696412
89-31-a,8.543150652,-20.29241794
89-31-c,9.563998635,-20.64439634
90-01-a,6.479549331,-16.2116582
90-01-b,6.333425388,-15.85330406
90-02-a,5.985510235,-15.56890522
90-02-b,6.342371759,-16.27416077
90-07,6.952710865,-18.53341821
90-08-a,6.635613403,-18.94481103
90-08-b,6.09982537,-19.1281108
90-10,6.671398755,-18.57195432
90-84,5.79167118,-19.4363816
91-15,6.633625327,-12.49219064
91-21,5.843361638,-18.65735824
91-23-a,6.636607441,-17.36686341
91-23-b,6.564042654,-17.45852524
91-44-a,6.764838216,-14.16244187
91-44-b,6.608774379,-14.392696
91-52-a,6.245949711,-20.37468597
91-52-b,5.850319966,-20.92139011
93-03-b,6.000420914,-21.73775695
