ID,N,C,Species,loc
S_JYD2,7.700103383,-20.72250046,Altcom,n
S_JYD1,7.215777757,-19.4796056,Altcom,n
S_IMF3,5.563477995,-18.31719328,Altcom,s
S_IPH3,6.168227316,-18.47000822,Altcom,s
S_IYE8,5.672727148,-18.64625479,Altcom,s
S_ISE8,5.638112378,-18.84531749,Altcom,s
S_IYC9,6.245421788,-18.01239601,Altcom,s
S_IYD8,5.756662378,-20.044384,Altcom,s
S_IYE7,6.075427163,-19.02271315,Altcom,s
S_ISE7,6.383006342,-17.67945718,Altcom,s
S_KYC8,7.2,-20.7,Batfas,n
S_KYC9,7.3,-21.3,Batfas,n
S_JYF6,8.135331972,-20.97048084,Batfas,n
S_KYD1,7.436962469,-20.69901981,Batfas,n
S_GPB2,7.9,-20.8,Batfas,s
S_GPB3,7.8,-20.1,Batfas,s
S_IZD4,8.6,-21.6,Batfas,s
S_ITH8,7.281700768,-20.02718687,Batfas,s
S_IMI3,7.421652515,-19.96598075,Batfas,s
S_JEG4,7.298680365,-19.93004247,Batfas,s
S_KAE1,8.272006482,-20.97413574,Batleo,n
S_KCC7,8.342877424,-20.92421619,Batleo,n
S_KCB8,8.327429537,-21.12788147,Batleo,n
S_KCB9,7.883755224,-21.50907761,Batleo,n
S_KCC1,8.184649398,-21.1430547,Batleo,n
S_KCC2,8.433281809,-21.3650892,Batleo,n
S_KCC5,8.567698638,-21.40959726,Batleo,n
S_ITE4,8.726741632,-20.0236268,Batleo,s
S_ITF2,8.901600031,-20.10614687,Batleo,s
S_LBB2,8.160858607,-20.39751402,Batleo,s
S_KAD6,8.627537039,-20.64385777,Batmin,n
S_JEF4,7.356451176,-20.35965226,Batmin,s
S_JEF5,7.171359609,-19.97160022,Batmin,s
S_JEF7,7.323656216,-19.92862211,Batmin,s
S_JEF9,6.854761656,-19.56391331,Batmin,s
S_JEG2,6.678600952,-19.36666686,Batmin,s
S_LIA5,8.56567092,-20.1413024,Batmin,s
S_JBG3,8.419549897,-19.91016716,Batmin,s
S_JEF6,7.113644543,-19.46187572,Batmin,s
S_JEF8,6.798980624,-19.47958893,Batmin,s
S_ILI4,5.863470718,-20.91520355,Benhor,s
S_ILH9,6.586055352,-20.85304255,Benhor,s
S_ILI1,6.905529722,-20.68089814,Benhor,s
S_ILI2,6.947720947,-20.32339622,Benhor,s
S_ILI3,6.888426911,-20.33623498,Benhor,s
S_ILH4,6.944244286,-20.18627992,Benhor,s
S_ILH5,6.677904691,-20.5572734,Benhor,s
S_ILH6,6.827349887,-21.04151649,Benhor,s
S_ILH7,6.713461161,-21.70188208,Benhor,s
S_ILH8,7.014191907,-20.62001548,Benhor,s
S_KAE4,8.03594681,-17.26062282,Ctehor,n
S_JDC3,7.798407763,-16.89497723,Ctehor,s
S_JDC8,7.355785404,-17.15003525,Ctehor,s
S_JDD9,8.080649587,-16.56711793,Ctehor,s
S_JDE1,6.993540815,-16.28867761,Ctehor,s
S_IQI6,7.25525677,-15.85624959,Ctehor,s
S_JAD9,9.331500329,-17.46359776,Ctehor,s
S_JDB2,7.920379152,-20.49314902,Ctehor,s
S_JDB5,8.466882937,-21.36343561,Ctehor,s
S_JDB6,8.434837734,-21.85399295,Ctehor,s
S_KAA2,7.657650635,-21.2668567,Lchaur,n
S_IWF1,6.046590328,-20.84527175,Lchaur,s
S_IWF2,6.663346869,-21.14440102,Lchaur,s
S_IWF3,5.909608474,-20.90802428,Lchaur,s
S_IZA6,8.548315546,-20.48404227,Lchaur,s
S_JCA1,8.10198655,-20.13092278,Lchaur,s
S_JCD9,8.493583175,-20.20684142,Lchaur,s
S_JCE1,8.353939964,-19.75972772,Lchaur,s
S_JAD2,7.744200744,-19.5656049,Lchaur,s
S_JEH2,6.334390823,-18.88597729,Lchaur,s
S_LGD6,6.7055828,-20.94619508,Lepatt,n
S_LGF3,7.125393247,-20.41127603,Lepatt,n
S_LGF4,6.863136364,-21.14973024,Lepatt,n
S_LGF5,7.301893126,-21.30212592,Lepatt,n
S_LGF6,6.952882066,-20.34990865,Lepatt,n
S_LGF7,7.253388326,-20.46291949,Lepatt,n
S_LGF8,7.286097246,-20.26578161,Lepatt,n
S_LGF9,7.048360978,-20.48254402,Lepatt,n
S_LGG1,7.183859074,-20.46642418,Lepatt,n
S_LGG2,6.566900048,-20.2733542,Lepatt,n
S_ISF7,6.504543612,-18.62689823,Lepatt,s
S_JDI9,7.502637134,-20.76951234,Lepatt,s
S_IPE6,7.181416151,-19.5666964,Lepatt,s
S_IPH7,6.79498465,-19.10002617,Lepatt,s
S_JDE8,7.378340187,-20.35531602,Lepatt,s
S_JDE9,6.946003121,-19.07403649,Lepatt,s
S_IPE5,6.969420854,-20.78457941,Lepatt,s
S_JDI6,7.935173658,-20.30100949,Lepatt,s
S_JDI7,7.951272214,-20.3266719,Lepatt,s
S_JDI8,7.64452806,-20.53918972,Lepatt,s
S_KAE5,9.291256168,-20.40207093,Lepelo,n
S_IPB4,8.024844607,-19.0366466,Lepelo,s
S_ISE1,7.326822487,-18.20614131,Lepelo,s
S_ISH2,6.796325676,-18.64491812,Lepelo,s
S_IPG5,7.783716193,-17.7131738,Lepelo,s
S_IQD7,7.985078578,-19.13830455,Lepelo,s
S_IQF8,8.19120704,-19.97866697,Lepelo,s
S_ISH3,6.18210476,-18.91805517,Lepelo,s
S_ISH4,7.797567908,-18.87447217,Lepelo,s
S_ISH1,7.69786204,-18.71253504,Lepelo,s
S_KAD2,8.397426211,-21.21526009,Leppro,n
S_KEB9,7.504304319,-19.75569126,Leppro,n
S_KEB8,7.4113557,-19.10469961,Leppro,n
S_LCG7,7.577867817,-19.28782776,Leppro,n
S_LCI9,8.309141464,-20.88463395,Leppro,n
S_LGC9,7.787764902,-18.4613968,Leppro,n
S_LGD1,7.511108999,-19.15926766,Leppro,n
S_LEE7,8.643760468,-18.04973318,Leppro,n
S_JBE5,7.150862908,-19.77765404,Leppro,s
S_JED3,7.904491208,-20.9865595,Leppro,s
S_JYC1,8.878563164,-20.80219642,Neofur,n
S_KAD1,8.555341418,-19.98170434,Neofur,n
S_IRA4,6.510769873,-20.27458515,Neofur,s
S_IRA5,6.568170674,-20.06255329,Neofur,s
S_IRA7,6.808433712,-19.48324717,Neofur,s
S_IRA3,6.432266746,-18.44371967,Neofur,s
S_IRA6,6.603344623,-17.56814542,Neofur,s
S_IWC4,6.864894394,-18.3325886,Neofur,s
S_IWC5,6.870780856,-19.76102501,Neofur,s
S_JEI9,7.029916527,-19.53255841,Neofur,s
S_JXE7,6.515580814,-20.14198234,Neosav,n
S_IPD9,6.958865112,-18.7062855,Neosav,s
S_IYH9,6.574729716,-18.37179244,Neosav,s
S_IPE2,7.346436676,-18.75557485,Neosav,s
S_IYB2,6.304593413,-19.10867816,Neosav,s
