ID,DLS,MLS,VEB,LAB,DOS,DES,DOB,DFD,CES,CPB,CAD,AFS,AES,AFD,OPB,NAB,HES,NOS,SOS,LAS
GPA7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
GPA8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
GPB1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
GPB3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
GPB4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
GPB7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
GPB8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
GPB9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
GPC1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
GPC2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
GPC3,0,0,0,1,1,1,0,0,0,0,1,0,1,NA,1,1,0,0,1,0
GPC9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPD6,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
GPD7,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
GPD8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GPD9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GPE1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GPE2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GPE3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
GPF3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPF4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GPF5,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
