ID,Sex,SpeciesID,Species,Tribe,CollectionDate,CollectionLocation,latitude,longitude
JYD5,F,Astbur,Astatotilapia burtoni,Haplochromini,10.01.15,Bujumbura Creek,-3.391916667,29.34941667
JYD3,M,Hplsta,Haplochromis stappersii,Haplochromini,10.01.15,Bujumbura Creek,-3.391916667,29.34941667
JZH3,F,Calmel,Callochromis melanostigma,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI4,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG1,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA7,NA,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF9,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZE6,M,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA4,M,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA8,NA,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA5,NA,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA6,NA,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZH1,NA,Neople,Neolamprologus pleuromaculatus,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA5,M,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA9,NA,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI7,M,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAD6,M,Batmin,Bathybates minor,Bathybatini,14.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH9,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG8,NA,Neople,Neolamprologus pleuromaculatus,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZE2,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF6,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF7,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI5,M,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI6,M,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG9,NA,Neople,Neolamprologus pleuromaculatus,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI5,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF8,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAF5,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI9,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZE8,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA1,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF3,M,Lamorn,Lamprologus ornatipinnis,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF5,M,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA8,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAF1,M,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAF3,M,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG7,F,Xenlon,Xenotilapia longispinis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG6,M,Xenlon,Xenotilapia longispinis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB2,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAA2,NA,Lchaur,Limnochromis auritus,Limnochromini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF1,M,Neople,Neolamprologus pleuromaculatus,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI8,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI2,M,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZF2,F,Neople,Neolamprologus pleuromaculatus,Lamprologini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAE3,M,Trespn,Trematocara sp. "new species",Trematocarini,14.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG2,F,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG3,F,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG4,F,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZG5,F,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCC2,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA9,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZH2,M,Calmel,Callochromis melanostigma,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI6,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI7,F,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI1,M,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZE4,F,Calple,Callochromis pleurospilus,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH6,F,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH7,F,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH8,F,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI4,F,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA6,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCA7,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCC1,NA,Batleo,Bathybates leo,Bathybatini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB4,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KCB1,F,Carsch,Cardiopharynx schoutedeni,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KDF7,NA,Neople,Neolamprologus pleuromaculatus,Lamprologini,22.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
JZI3,M,Xenorn,Xenotilapia ornatipinnis,Ectodini,12.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH4,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAI8,NA,Calmel,Callochromis melanostigma,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH2,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
KAH3,M,Xenlon,Xenotilapia longispinis,Ectodini,15.01.15,Bujumbura fishmarket,-3.347833333,29.29777778
