DNA Tube ID	Specimen ID	Species ID	Tribe
LPE7	S_LPE7	Baicen	Limnochromini
IPF9	S_IPF9	Lepelo	Lamprologini
GPA6	S_GPA6	Tre sp.	Trematocarini
ILD8	S_ILD8	LamorS	Lamprologini
MPC3	S_MPC3	Telbra	Lamprologini
JYD3	S_JYD3	Hplsta	Haplochromini
KCC7	S_KCC7	Batleo	Bathybatini
MQC8	S_MQC8	Auldew	Ectodini
LNC9	S_LNC9	Gnaper	Limnochromini
MQC9	S_MQC9	Auldew	Ectodini
IWI2	S_IWI2	Neomux	Lamprologini
MQB2	S_MQB2	Simple	Tropheini
MQB3	S_MQB3	Simple	Tropheini
MQB4	S_MQB4	Simple	Tropheini
MQB5	S_MQB5	Simple	Tropheini
MQB6	S_MQB6	Simple	Tropheini
MQB7	S_MQB7	Petfas	Tropheini
MQB8	S_MQB8	Neomod	Lamprologini
MQB9	S_MQB9	Neomod	Lamprologini
MQC1	S_MQC1	Neomod	Lamprologini
MQC2	S_MQC2	Neomod	Lamprologini
MQC3	S_MQC3	Auldew	Ectodini
MQC4	S_MQC4	Auldew	Ectodini
MQC5	S_MQC5	Auldew	Ectodini
MQC6	S_MQC6	Auldew	Ectodini
MQC7	S_MQC7	Auldew	Ectodini
MQD1	S_MQD1	Auldew	Ectodini
MQD2	S_MQD2	Auldew	Ectodini
MQD3	S_MQD3	Auldew	Ectodini
MQD4	S_MQD4	Auldew	Ectodini
MQD5	S_MQD5	Auldew	Ectodini
LNC8	S_LNC8	Ctehor	Tropheini
MQD6	S_MQD6	Auldew	Ectodini
MQD7	S_MQD7	Lepelo	Lamprologini
MQD8	S_MQD8	Lepelo	Lamprologini
MQD9	S_MQD9	Lepelo	Lamprologini
MQE1	S_MQE1	Lepelo	Lamprologini
MQE2	S_MQE2	Lepelo	Lamprologini
MQE3	S_MQE3	Petfas	Tropheini
MQE4	S_MQE4	Petfas	Tropheini
MQE5	S_MQE5	Altcom	Lamprologini
MQE6	S_MQE6	Ctehor	Tropheini
MQE7	S_MQE7	Ctehor	Tropheini
MQE8	S_MQE8	Ctehor	Tropheini
MQE9	S_MQE9	Ctehor	Tropheini
MQF1	S_MQF1	Ctehor	Tropheini
MQF2	S_MQF2	Lepelo	Lamprologini
MQF3	S_MQF3	Neomod	Lamprologini
MQF4	S_MQF4	Neomod	Lamprologini
MQF5	S_MQF5	Neomod	Lamprologini
MQF6	S_MQF6	Neomod	Lamprologini
MQF7	S_MQF7	Simple	Tropheini
MQF8	S_MQF8	Simple	Tropheini
MQF9	S_MQF9	Simple	Tropheini
MQG1	S_MQG1	Simple	Tropheini
MQG2	S_MQG2	Simple	Tropheini
MQG3	S_MQG3	Cyafur	Ectodini
MQG4	S_MQG4	Petpol	Tropheini
MQG5	S_MQG5	Petpol	Tropheini
MQG6	S_MQG6	Permic	Perissodini
MQG7	S_MQG7	Permic	Perissodini
MQG8	S_MQG8	Permic	Perissodini
MQG9	S_MQG9	Permic	Perissodini
MQH1	S_MQH1	Permic	Perissodini
MQH2	S_MQH2	Tylpol	Tylochromini
MQH3	S_MQH3	Lepelo	Lamprologini
MQH4	S_MQH4	Cyplep	Cyprichromini
MQH5	S_MQH5	Cyplep	Cyprichromini
MQH6	S_MQH6	Cyplep	Cyprichromini
MQH7	S_MQH7	Cyplep	Cyprichromini
MQH8	S_MQH8	Cyplep	Cyprichromini
MQH9	S_MQH9	Cyplep	Cyprichromini
MQI1	S_MQI1	Cyplep	Cyprichromini
MQI2	S_MQI2	Cyplep	Cyprichromini
MQI3	S_MQI3	Cyplep	Cyprichromini
MQI4	S_MQI4	Cyplep	Cyprichromini
MQI5	S_MQI5	Cyplep	Cyprichromini
MQI6	S_MQI6	Pethor	Tropheini
MQI7	S_MQI7	Lepelo	Lamprologini
MQI8	S_MQI8	Altcom	Lamprologini
MQI9	S_MQI9	Xenbou	Ectodini
RFA1	S_RFA1	Xenbou	Ectodini
RFA2	S_RFA2	Xenbou	Ectodini
RFA3	S_RFA3	Xenbou	Ectodini
RFA4	S_RFA4	Xenbou	Ectodini
RFA5	S_RFA5	Xenbou	Ectodini
RFA6	S_RFA6	Xenbou	Ectodini
RFA7	S_RFA7	Xenbou	Ectodini
RFA8	S_RFA8	Xenbou	Ectodini
RFA9	S_RFA9	Xenbou	Ectodini
RFB1	S_RFB1	Gwcbel	Limnochromini
RFB2	S_RFB2	Batfas	Bathybatini
RFB3	S_RFB3	Hemste	Bathybatini
RFB4	S_RFB4	Hemste	Bathybatini
RFB5	S_RFB5	Hemste	Bathybatini
RFB6	S_RFB6	Hemste	Bathybatini
RFB7	S_RFB7	Hemste	Bathybatini
RFB8	S_RFB8	Hemste	Bathybatini
