JWF3	Phaacu
JWF4	Sarcar
JWF5	Sermac
JWF8	Thobra
JWG2	Ctepol
GPB2	Batfas
ILF7	Batleo
ILG7	Batgra
ITD7	Batleo
ITH3	Batfas
IUI8	Batgra
IXA5	Batmin
IXC2	Hemste
IXC3	Hemste
IZA5	HemstZ
JBG3	Batmin
JDE3	Bathor
JDE4	Bathor
JDE6	Batvit
JDE7	Batvit
LCD6	Batfer
LCD7	Batfer
LJC5	HemstZ
ILF8	Benhor
ILG3	Benhor
IXB8	Benmel
IZA2	Benmel
LDA7	Bentri
LDA9	Bentri
LEF2	BenhoK
JAE7	Boumic
JCF2	Boumic
DMD1	Cteben
INH7	Cphgib
INH9	Cphgib
IYA8	Cteben
KAG3	Cphfr5
KDG2	Cphfr5
LEI6	Cphfro
LEI9	Cphfro
Bel16	Cypkib
Bel18	Cypkib
GPC4	Pcynig
GPC6	Pcynig
GPC9	Cypzon
GPD1	Cypzon
INH1	Cypkan
IQB9	Pcybri
IQC1	Pcybri
ISI2	Cyplep
ISI6	Cyplep
JEB2	Cyppav
JEB4	Cyppav
JEC7	Cypcol
JED2	Cypcol
JVE1	Cypmic
JVF2	Cypmic
JWD1	Pcytem
JWD2	Pcytem
JXI2	PcybrN
JXI4	PcybrN
KFA7	Cypdwj
KFA9	Cypdwj
A206	XenpaK
AUA1	Auldew
AUA9	Auldew
AVH2	Cyafur
AWC5	Enamel
AXB5	Xenspi
AXB8	Xenspi
AXH6	Ophnas
AXH8	Ophnas
AYE5	Cyafur
Bel01	Xenkil
Bel12	Ophhet
Bel03	Xenkil
Bel06	Ophhet
BNC5	Enamel
BND3	Calmac
BND5	Calmac
GPF8	Xensun
GPF9	Xensun
IMF7	Xennas
IMF8	Xennas
INF1	Asplep
INF2	Asplep
IOD4	Cyafoa
IOD6	Cyafoa
IPE3	Xenbou
IPE7	Xenbou
IQD3	Ophven
IQE4	Ophven
IRA1	Lesper
IRA2	Lesper
IRD7	Ectdes
IRD8	Ectdes
IRD9	Xensin
IRE3	Xensin
IUF7	XenorS
IUF8	XenorS
IVB4	Xenbat
IVB5	Xenbat
IVF4	Xenpap
IVF5	Xenpap
IWD7	Cunlon
IWD8	Cunlon
IXB9	Xencau
IXC1	Xencau
IXF4	XenniS
IZC7	XenniS
JAF7	Xenfla
JAF9	Xenfla
JBE6	Mdcrot
JBE7	Mdcrot
JDD7	Gralem
JDD8	Gralem
JVH2	Lessta
JVH3	Lessta
JVH4	Xenoch
JVI5	Xenoch
JYF7	Ophpar
JYG5	Ophpar
JZE2	Calple
JZE4	Calple
JZE6	Xenorn
JZE8	Xenorn
KAF1	Carsch
KAF2	Carsch
KAF3	Calmel
KAF4	Calmel
KAF5	Xenlon
KAF6	Xenlon
KHC4	EctspN
KHC5	EctspN
LBE2	Xensim
LBE9	Xensim
LEA3	XenspN
LEA4	XenspN
LFI4	Ophboo
LFI6	Ophboo
LGH1	Ophwhi
LGH3	Ophwhi
LHG4	Mdcten
LHG6	Mdcten
IZH7	Erecya
IZI3	Erecya
JUB6	Spaery
JUB7	Spaery
JXE9	Eremar
JXF4	Eremar
JYH3	Tanirs
JYH7	Tanirs
JZB7	Spamar
JZD3	Spamar
AUB6	Simple
AUD8	Simdia
AUE1	Simdia
AVA8	Ctehor
AVB6	Simple
AWB7	Gnapfe
AWB9	Petpol
AWE2	Gnapfe
AWI4	Petpol
AWI5	Limdar
AWI6	Limdar
AXA7	Ctehor
AXF8	Psccur
AYC7	Psccur
GPH7	Petfas
HXC4	HplspC
HXC5	HplspC
IOD9	Trored
IOE1	Trored
IPB6	Intloo
IPC1	Peteph
IPF3	Intloo
ISD8	Loblab
ISE5	Loblab
IWB5	Pethor
IWB6	Pethor
IWC9	Pettre
IWD4	Pettre
IYA5	Peteph
IYA6	Petfam
IYA7	Petfam
IZA1	Astbur
IZC5	Astbur
JAE1	Petfas
JBH4	Tromoo
JBH5	Tromoo
JUA3	Simbab
JUA4	Simbab
JVC3	Tronig
JVC9	Tronig
JWG1	Psephi
JWG3	Hplvan
JWG4	Troann
JWG5	Troann
JXH4	Petort
JXH5	Petort
JYD3	Hplsta
JYD5	Hplsta
JYI8	Trobri
JZA3	Trobri
KAE8	Arcstr
KCE7	Simmar
KCF3	Simmar
KEA4	Petkas
KEB4	Petkas
KED6	Trolun
KED7	Trolun
KEF2	Troluk
KEF3	Troluk
KFE8	Simmrg
KFF1	Simmrg
KHA4	Trodub
