id	dN	dS	dNdS	bp
A108	145.5294	738.3733	0.197094613253215	13625140
A142	152.1454	776.0225	0.196057975123144	13788079
A206	145.1676	736.798	0.197024964780035	13531944
AUA1	146.4229	746.1923	0.196226763529991	13180797
AUA9	144.1053	742.2762	0.194139728580817	13105872
AUB6	139.3289	717.8356	0.194095834756593	13665377
AUC3	148.7937	762.1528	0.195228174717721	13842826
AUC4	146.0952	754.6215	0.19360063290007	13337652
AUD8	136.9509	700.1162	0.195611671319704	13770453
AUE1	136.8159	702.2447	0.194826532688677	13794732
AUE6	149.8727	758.9788	0.197466253339355	12980330
AUE7	150.966	776.9142	0.194314893459278	13666715
AUG8	150.8785	764.8267	0.197271486468765	13247079
AVA8	136.7294	711.1316	0.192270178965469	13259001
AVA9	145.2444	740.7646	0.196073624468556	13513298
AVB2	144.4013	739.2717	0.195329132712641	13440227
AVB6	138.4939	712.1975	0.194459963703888	13581967
AVD4	150.2216	767.6608	0.195687470299382	13106911
AVG5	151.7162	772.431	0.196413919172068	13509335
AVH2	146.2053	754.0392	0.193896152879055	13246081
AWB7	139.7289	721.7161	0.193606461044724	13093673
AWB9	132.8022	680.5276	0.195145942648028	13125224
AWC5	145.956	739.5223	0.197365245104847	13239414
AWE2	138.2168	710.4672	0.194543534170191	12933017
AWI4	131.6249	679.4187	0.193731641475279	13069006
AWI5	133.6189	687.5438	0.194342382259865	13130313
AWI6	133.6544	689.6148	0.19381022565061	13181284
AXA7	137.7026	712.8936	0.193160101311051	13441415
AXB5	143.6944	728.5297	0.197238904604713	13122858
AXB8	144.7779	733.3906	0.197408993243164	13262520
AXD5	149.8777	771.5564	0.194253718846736	13540287
AXF8	138.169	707.0185	0.19542487219217	13355814
AXH6	145.1971	745.6443	0.194727030032953	13137718
AXH8	145.0504	745.1114	0.194669414533183	13152891
AYC7	138.1538	709.888	0.194613516498377	13660896
AYE5	146.6408	758.4459	0.193343783650225	13311626
Bel01	146.4216	745.5863	0.196384509747564	13673486
Bel03	140.6507	723.2016	0.194483391629665	12551210
Bel06	143.6085	744.8608	0.192799110921128	12660334
Bel07	142.4392	726.3005	0.196116070414381	12311701
Bel09	146.7156	747.6501	0.196235645524558	13567115
Bel12	147.1626	749.4345	0.196364859103764	13154698
Bel13	150.2588	769.4749	0.195274465742807	13150860
Bel14	150.6181	771.7746	0.195158145914623	13366412
Bel16	135.4758	684.4771	0.197925978823835	12928820
Bel18	136.8444	694.7805	0.196960622815407	13206499
BNC5	147.4049	745.4643	0.197735693043919	13440370
BND3	145.8302	752.2053	0.193870210699127	13074751
BND5	146.9881	758.5117	0.193784881630699	13270191
DMD1	124.8659	636.5455	0.196161782621981	13328936
GPB2	127.4026	657.3471	0.193813283727881	12476742
GPC4	135.4409	685.7474	0.197508441154863	13692251
GPC6	133.2452	674.6771	0.197494771943497	13110418
GPC9	135.8555	695.5547	0.195319649195096	13479963
GPD1	136.0215	693.1534	0.196235782728614	13188723
GPF8	137.7303	702.97	0.195926284194205	12109845
