geneID	gff_annotation	gff_annotation.1
100533461	cyp11b	P450(11beta) hydroxylase type I
100533979	nr0b2	nuclear receptor subfamily 0 group B member 2
100533980	sox30	Sox30 protein
100533981	thbs1a	thrombospondin-1a
100533982	thbs1b	thrombospondin-1b
100534395	gth-ri	gonadotropin receptor I
100534396	LOC100534396	brain aromatase
100534397	gth-rii	gonadotropin receptor II
100534398	LOC100534398	glucocorticoid receptor 1%2C transcript variant X1
100534399	anxa10	annexin A10%2C transcript variant X1
100534400	ghr1	growth hormone receptor type 1%2C transcript variant X1
100534401	aspn	asporin
100534402	dcn	decorin
100534403	pcsk1	proprotein convertase subtilisin/kexin type 1
100534405	pcsk2	proprotein convertase subtilisin/kexin type 2
100534407	cpe	carboxypeptidase E%2C transcript variant X2
100534408	ddx4	DEAD-box helicase 4
100534409	ara	androgen receptor alpha
100534410	ar	androgen receptor
100534411	LOC100534411	actin%2C alpha cardiac
100534412	LOC100534412	actin%2C cytoplasmic 2
100534413	acta1	actin%2C alpha 1%2C skeletal muscle
100534414	LOC100534414	actin%2C cytoplasmic 1
100534415	LOC100534415	hepcidin%2C transcript variant X3
100534416	tshr	thyroid stimulating hormone receptor
100534417	prlr2	prolactin receptor 2
100534418	fadsd6	delta-6 fatty acyl desaturase%2C transcript variant X1
100534419	LOC100534419	inward rectifier potassium channel 13
100534420	gata4	GATA binding protein 4
100534421	kir7.1	inward rectifier potassium channel 7.1
100534422	hoxa2	homeobox A2
100534423	LOC100534423	homeobox protein Hox-A2b
100534425	LOC100534425	glutathione S-transferase
100534426	gsta	glutathione S-transferase%2C transcript variant X1
100534427	LOC100534427	L-lactate dehydrogenase A chain
100534428	LOC100534428	insulin-like growth factor 3
100534429	igf2	insulin like growth factor 2
100534430	spp120	seminal plasma glycoprotein 120
100534431	ef-1a	elongation factor 1a
100534432	LOC100534432	carbonyl reductase-like 20beta-hydroxysteroid dehydrogenase%2C transcript variant X1
100534433	LOC100534433	alcohol dehydrogenase [NADP(+)] A%2C transcript variant X3
100534434	LOC100534434	casein kinase II subunit alpha%2C transcript variant X2
100534436	rpl32	ribosomal protein L32
100534437	LOC100534437	sodium-dependent phosphate transport protein 2B%2C transcript variant X2
100534438	LOC100534438	caspase-3
100534440	LOC100534440	muscarinic receptor 3 subtype%2C transcript variant X3
100534441	LOC100534441	muscarinic receptor 2 subtype
100534442	LOC100534442	muscarinic receptor 5A subtype
100534443	rps12	ribosomal protein S12
100534444	chrm5	cholinergic receptor muscarinic 5
100534445	LOC100534445	glutamine synthetase
100534446	lipc	lipase C%2C hepatic type
100534447	brca2	BRCA2%2C DNA repair associated%2C transcript variant X1
100534448	LOC100534448	heat shock protein 70
100534449	rpl14	ribosomal protein L14
100534450	hsd3b7	hydroxy-delta-5-steroid dehydrogenase%2C 3 beta- and steroid delta-isomerase 7
100534452	LOC100534452	growth hormone
100534453	LOC100534453	multidrug resistance protein 1%2C transcript variant X6
100534454	polr2e	RNA polymerase II subunit E%2C transcript variant X2
100534455	gstt2b	glutathione S-transferase theta 2B
100534456	lipe	lipase E%2C hormone sensitive type%2C transcript variant X3
100534457	Mb	myoglobin
100534459	LOC100534459	vitellogenin-2
100534460	ppard	peroxisome proliferator activated receptor delta
100534461	LOC100534461	homeobox protein Hox-B3a%2C transcript variant X11
100534462	LOC100534462	homeobox protein Hox-A4
100534464	LOC100534464	homeobox protein Hox-C5a
100534465	hoxd3	homeobox D3%2C transcript variant X5
100534466	hoxd4	homeobox D4
100534467	LOC100534467	homeobox protein Hox-D4b
100534468	etv4	ETS variant 4%2C transcript variant X3
100534469	dlx2	distal-less homeobox 2
100534470	fli1	Fli-1 proto-oncogene%2C ETS transcription factor%2C transcript variant X6
100534471	hoxc4	homeobox C4%2C transcript variant X1
100534472	nr1i2	nuclear receptor subfamily 1 group I member 2
100534473	nccrp1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)
100534474	cse1l	chromosome segregation 1 like
100534475	uchl1	ubiquitin C-terminal hydrolase L1
100534476	nr0b1a	orphan nuclear receptor Dax-1
100534477	granulin	progranulin
100534478	hcrt	hypocretin neuropeptide precursor
100534479	il-8	interleukin-8
100534480	LOC100534480	cAMP-responsive element modulator%2C transcript variant X4
100534481	LOC100534481	zona pellucida sperm-binding protein 4%2C transcript variant X1
100534482	LOC100534482	UDP-glucuronosyltransferase
100534483	LOC100534483	glutathione peroxidase
100534484	LOC100534484	solute carrier family 2%2C facilitated glucose transporter member 2
100534485	naca	nascent polypeptide-associated complex alpha subunit%2C transcript variant X7
100534486	gnrh1	gonadotropin releasing hormone 1%2C transcript variant X1
100534487	gnrh3	progonadoliberin-3%2C transcript variant X2
100534488	myod1	myogenic factor MyoD1
100534489	myod2	myogenic factor MyoD2
100534490	LOC100534490	ATP-binding cassette sub-family G member 1%2C transcript variant X4
100534491	glut1	glucose transporter
100534492	cck	cholecystokinin
100534493	LOC100534493	growth/differentiation factor 11%2C transcript variant X2
100534494	LOC100534494	pancreatic alpha-amylase
100534495	gfap	glial fibrillary acidic protein
100534496	rtbdn	retbindin
100534498	pgr	progesterone receptor
100534499	LOC100534499	retinoic acid receptor RXR-beta-A%2C transcript variant X1
100534500	fshb	follicle stimulating hormone beta subunit
100534501	LOC100534501	gonadotropin subunit beta-2
100534502	fasn	fatty acid synthase%2C transcript variant X1
100534503	cga	glycoprotein hormones%2C alpha polypeptide
100534504	lpl	lipoprotein lipase
100534505	hsd11b2	hydroxysteroid 11-beta dehydrogenase 2
100534506	bglap	bone gamma-carboxyglutamate protein%2C transcript variant X3
100534508	LOC100534508	putative gonadotropin-releasing hormone II receptor
100534509	LOC100534509	GnRH receptor type2
100534510	grin2a	glutamate ionotropic receptor NMDA type subunit 2A
100534511	dmrt2	doublesex and mab-3 related transcription factor 2
100534512	LOC100534512	gamma-aminobutyric acid receptor subunit alpha-6
100534513	LOC100534513	gamma-aminobutyric acid receptor subunit rho-1%2C transcript variant X3
100534514	ER	type I estrogen receptor
100534515	LOC100534515	type II estrogen receptor
100534516	LOC100534516	trypsin
100534517	foxl2	forkhead box L2
100534518	LOC100534518	putative gonadotropin-releasing hormone II receptor%2C transcript variant X1
100534519	gpr54	G-protein coupled receptor GPR54
100534520	LOC100534520	trypsin-2
100534521	drd2	dopamine receptor D2
100534522	LOC100534522	prolactin
100534523	LOC100534523	prolactin
100534524	hsd17b1	hydroxysteroid 17-beta dehydrogenase 1
100534525	LOC100534525	microphthalmia-associated transcription factor%2C transcript variant X5
100534526	hsd17b12	17-beta hydroxysteroid dehydrogenase type 12
100534527	LOC100534527	pendulin
100534528	dio3	deiodinase%2C iodothyronine%2C type III
100534529	LOC100534529	granzyme-1
100534530	LOC100534530	glucose-6-phosphatase
100534531	rad51	RAD51 recombinase%2C transcript variant X1
100534532	dmc1	DNA meiotic recombinase 1
100534534	ghr	growth hormone receptor
100534535	hk1	hexokinase 1
100534536	hki	hexokinase-1
100534538	pfk	ATP-dependent 6-phosphofructokinase%2C muscle type
100534539	ald	fructose-bisphosphate aldolase A
100534540	tpi	triosephosphate isomerase B
100534541	pgm	phosphoglycerate mutase 1
100534543	LOC100534543	pyruvate kinase PKM
100534544	g6pdh	glucose-6-phosphate 1-dehydrogenase%2C transcript variant X2
100534545	tk	transketolase
100534546	pgm1	phosphoglucomutase 1
100534548	elovl5	ELOVL fatty acid elongase 5
100534549	rpl18	ribosomal protein L18
100534550	ansn	anserinase
100534551	sox10	SRY-box 10%2C transcript variant X2
100534552	nr0b1b	orphan nuclear receptor DAX2
